modifier_path	modifier_cd	name_char	modifier_blob	update_date	download_date	import_date	sourcesystem_cd	upload_id
\FHIR\ActivityDefinition\dynamicValue\expression\	FHIR:ActivityDefinition.dynamicValue.expression	FHIR ActivityDefinition dynamicValue expression		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\ActivityDefinition\dynamicValue\language\	FHIR:ActivityDefinition.dynamicValue.language	FHIR ActivityDefinition dynamicValue language		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\ActivityDefinition\dynamicValue\path\	FHIR:ActivityDefinition.dynamicValue.path	FHIR ActivityDefinition dynamicValue path		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\ActivityDefinition\effectivePeriod\	FHIR:ActivityDefinition.effectivePeriod	FHIR ActivityDefinition effectivePeriod		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\ActivityDefinition\experimental\	FHIR:ActivityDefinition.experimental	FHIR ActivityDefinition experimental		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\ActivityDefinition\identifier\	FHIR:ActivityDefinition.identifier	FHIR ActivityDefinition identifier		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\ActivityDefinition\jurisdiction\	FHIR:ActivityDefinition.jurisdiction	FHIR ActivityDefinition jurisdiction		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\ActivityDefinition\kind\	FHIR:ActivityDefinition.kind	FHIR ActivityDefinition kind		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\ActivityDefinition\lastReviewDate\	FHIR:ActivityDefinition.lastReviewDate	FHIR ActivityDefinition lastReviewDate		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\ActivityDefinition\library\	FHIR:ActivityDefinition.library	FHIR ActivityDefinition library		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\ActivityDefinition\location\	FHIR:ActivityDefinition.location	FHIR ActivityDefinition location		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\ActivityDefinition\name\	FHIR:ActivityDefinition.name	FHIR ActivityDefinition name		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\ActivityDefinition\participant\	FHIR:ActivityDefinition.participant	FHIR ActivityDefinition participant		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\ActivityDefinition\participant\role\	FHIR:ActivityDefinition.participant.role	FHIR ActivityDefinition participant role		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\ActivityDefinition\participant\type\	FHIR:ActivityDefinition.participant.type	FHIR ActivityDefinition participant type		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\ActivityDefinition\productCodeableConcept\	FHIR:ActivityDefinition.productCodeableConcept	FHIR ActivityDefinition productCodeableConcept		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\ActivityDefinition\productReference\	FHIR:ActivityDefinition.productReference	FHIR ActivityDefinition productReference		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\ActivityDefinition\product\	FHIR:ActivityDefinition.product	FHIR ActivityDefinition product		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\ActivityDefinition\publisher\	FHIR:ActivityDefinition.publisher	FHIR ActivityDefinition publisher		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\ActivityDefinition\purpose\	FHIR:ActivityDefinition.purpose	FHIR ActivityDefinition purpose		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\ActivityDefinition\quantity\	FHIR:ActivityDefinition.quantity	FHIR ActivityDefinition quantity		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\ActivityDefinition\relatedArtifact\	FHIR:ActivityDefinition.relatedArtifact	FHIR ActivityDefinition relatedArtifact		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\ActivityDefinition\status\	FHIR:ActivityDefinition.status	FHIR ActivityDefinition status		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\ActivityDefinition\timingCodeableConcept\	FHIR:ActivityDefinition.timingCodeableConcept	FHIR ActivityDefinition timingCodeableConcept		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\ActivityDefinition\timingTiming\	FHIR:ActivityDefinition.timingTiming	FHIR ActivityDefinition timingTiming		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\ActivityDefinition\timing\	FHIR:ActivityDefinition.timing	FHIR ActivityDefinition timing		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\ActivityDefinition\title\	FHIR:ActivityDefinition.title	FHIR ActivityDefinition title		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\ActivityDefinition\topic\	FHIR:ActivityDefinition.topic	FHIR ActivityDefinition topic		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\ActivityDefinition\transform\	FHIR:ActivityDefinition.transform	FHIR ActivityDefinition transform		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\ActivityDefinition\url\	FHIR:ActivityDefinition.url	FHIR ActivityDefinition url		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\ActivityDefinition\usage\	FHIR:ActivityDefinition.usage	FHIR ActivityDefinition usage		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\ActivityDefinition\useContext\	FHIR:ActivityDefinition.useContext	FHIR ActivityDefinition useContext		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\ActivityDefinition\version\	FHIR:ActivityDefinition.version	FHIR ActivityDefinition version		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\Address\city\	FHIR:Address.city	FHIR Address city		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\Address\country\	FHIR:Address.country	FHIR Address country		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\Address\district\	FHIR:Address.district	FHIR Address district		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\Address\line\	FHIR:Address.line	FHIR Address line		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\Address\period\	FHIR:Address.period	FHIR Address period		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\Address\postalCode\	FHIR:Address.postalCode	FHIR Address postalCode		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\Address\state\	FHIR:Address.state	FHIR Address state		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\Address\text\	FHIR:Address.text	FHIR Address text		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\Address\type\	FHIR:Address.type	FHIR Address type		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\Address\use\	FHIR:Address.use	FHIR Address use		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\AdverseEvent\category\	FHIR:AdverseEvent.category	FHIR AdverseEvent category		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\AdverseEvent\date\	FHIR:AdverseEvent.date	FHIR AdverseEvent date		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\AdverseEvent\description\	FHIR:AdverseEvent.description	FHIR AdverseEvent description		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\AdverseEvent\eventParticipant\	FHIR:AdverseEvent.eventParticipant	FHIR AdverseEvent eventParticipant		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\AdverseEvent\identifier\	FHIR:AdverseEvent.identifier	FHIR AdverseEvent identifier		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\AdverseEvent\location\	FHIR:AdverseEvent.location	FHIR AdverseEvent location		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\AdverseEvent\outcome\	FHIR:AdverseEvent.outcome	FHIR AdverseEvent outcome		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\AdverseEvent\reaction\	FHIR:AdverseEvent.reaction	FHIR AdverseEvent reaction		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\AdverseEvent\recorder\	FHIR:AdverseEvent.recorder	FHIR AdverseEvent recorder		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\AdverseEvent\referenceDocument\	FHIR:AdverseEvent.referenceDocument	FHIR AdverseEvent referenceDocument		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\AdverseEvent\seriousness\	FHIR:AdverseEvent.seriousness	FHIR AdverseEvent seriousness		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\AdverseEvent\study\	FHIR:AdverseEvent.study	FHIR AdverseEvent study		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\AdverseEvent\subjectMedicalHistory\	FHIR:AdverseEvent.subjectMedicalHistory	FHIR AdverseEvent subjectMedicalHistory		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\AdverseEvent\subject\	FHIR:AdverseEvent.subject	FHIR AdverseEvent subject		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\AdverseEvent\suspectEntity\	FHIR:AdverseEvent.suspectEntity	FHIR AdverseEvent suspectEntity		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\AdverseEvent\suspectEntity\causalityAssessment\	FHIR:AdverseEvent.suspectEntity.causalityAssessment	FHIR AdverseEvent suspectEntity causalityAssessment		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\AdverseEvent\suspectEntity\causalityAuthor\	FHIR:AdverseEvent.suspectEntity.causalityAuthor	FHIR AdverseEvent suspectEntity causalityAuthor		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\AdverseEvent\suspectEntity\causalityMethod\	FHIR:AdverseEvent.suspectEntity.causalityMethod	FHIR AdverseEvent suspectEntity causalityMethod		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\AdverseEvent\suspectEntity\causalityProductRelatedness\	FHIR:AdverseEvent.suspectEntity.causalityProductRelatedness	FHIR AdverseEvent suspectEntity causalityProductRelatedness		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\AdverseEvent\suspectEntity\causalityResult\	FHIR:AdverseEvent.suspectEntity.causalityResult	FHIR AdverseEvent suspectEntity causalityResult		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\AdverseEvent\suspectEntity\causality\	FHIR:AdverseEvent.suspectEntity.causality	FHIR AdverseEvent suspectEntity causality		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\AdverseEvent\suspectEntity\instance\	FHIR:AdverseEvent.suspectEntity.instance	FHIR AdverseEvent suspectEntity instance		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\AdverseEvent\type\	FHIR:AdverseEvent.type	FHIR AdverseEvent type		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\AllergyIntolerance\assertedDate\	FHIR:AllergyIntolerance.assertedDate	FHIR AllergyIntolerance assertedDate		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\AllergyIntolerance\asserter\	FHIR:AllergyIntolerance.asserter	FHIR AllergyIntolerance asserter		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\AllergyIntolerance\category\	FHIR:AllergyIntolerance.category	FHIR AllergyIntolerance category		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\AllergyIntolerance\clinicalStatus\	FHIR:AllergyIntolerance.clinicalStatus	FHIR AllergyIntolerance clinicalStatus		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\AllergyIntolerance\code\	FHIR:AllergyIntolerance.code	FHIR AllergyIntolerance code		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\AllergyIntolerance\criticality\	FHIR:AllergyIntolerance.criticality	FHIR AllergyIntolerance criticality		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\AllergyIntolerance\identifier\	FHIR:AllergyIntolerance.identifier	FHIR AllergyIntolerance identifier		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\AllergyIntolerance\lastOccurrence\	FHIR:AllergyIntolerance.lastOccurrence	FHIR AllergyIntolerance lastOccurrence		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\AllergyIntolerance\note\	FHIR:AllergyIntolerance.note	FHIR AllergyIntolerance note		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\AllergyIntolerance\onsetAge\	FHIR:AllergyIntolerance.onsetAge	FHIR AllergyIntolerance onsetAge		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\AllergyIntolerance\onsetDateTime\	FHIR:AllergyIntolerance.onsetDateTime	FHIR AllergyIntolerance onsetDateTime		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\AllergyIntolerance\onsetPeriod\	FHIR:AllergyIntolerance.onsetPeriod	FHIR AllergyIntolerance onsetPeriod		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\AllergyIntolerance\onsetRange\	FHIR:AllergyIntolerance.onsetRange	FHIR AllergyIntolerance onsetRange		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\AllergyIntolerance\onsetString\	FHIR:AllergyIntolerance.onsetString	FHIR AllergyIntolerance onsetString		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\AllergyIntolerance\onset\	FHIR:AllergyIntolerance.onset	FHIR AllergyIntolerance onset		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\AllergyIntolerance\patient\	FHIR:AllergyIntolerance.patient	FHIR AllergyIntolerance patient		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\AllergyIntolerance\reaction\	FHIR:AllergyIntolerance.reaction	FHIR AllergyIntolerance reaction		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\AllergyIntolerance\reaction\description\	FHIR:AllergyIntolerance.reaction.description	FHIR AllergyIntolerance reaction description		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\AllergyIntolerance\reaction\exposureRoute\	FHIR:AllergyIntolerance.reaction.exposureRoute	FHIR AllergyIntolerance reaction exposureRoute		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\AllergyIntolerance\reaction\manifestation\	FHIR:AllergyIntolerance.reaction.manifestation	FHIR AllergyIntolerance reaction manifestation		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\AllergyIntolerance\reaction\note\	FHIR:AllergyIntolerance.reaction.note	FHIR AllergyIntolerance reaction note		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\AllergyIntolerance\reaction\onset\	FHIR:AllergyIntolerance.reaction.onset	FHIR AllergyIntolerance reaction onset		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\AllergyIntolerance\reaction\severity\	FHIR:AllergyIntolerance.reaction.severity	FHIR AllergyIntolerance reaction severity		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\AllergyIntolerance\reaction\substance\	FHIR:AllergyIntolerance.reaction.substance	FHIR AllergyIntolerance reaction substance		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\AllergyIntolerance\recorder\	FHIR:AllergyIntolerance.recorder	FHIR AllergyIntolerance recorder		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\AllergyIntolerance\type\	FHIR:AllergyIntolerance.type	FHIR AllergyIntolerance type		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\AllergyIntolerance\verificationStatus\	FHIR:AllergyIntolerance.verificationStatus	FHIR AllergyIntolerance verificationStatus		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\Annotation\authorReference\	FHIR:Annotation.authorReference	FHIR Annotation authorReference		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\Annotation\authorString\	FHIR:Annotation.authorString	FHIR Annotation authorString		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\Annotation\author\	FHIR:Annotation.author	FHIR Annotation author		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\Annotation\text\	FHIR:Annotation.text	FHIR Annotation text		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\Annotation\time\	FHIR:Annotation.time	FHIR Annotation time		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\Appointment\participant\actor\	FHIR:Appointment.participant.actor	FHIR Appointment participant actor		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\Appointment\participant\required\	FHIR:Appointment.participant.required	FHIR Appointment participant required		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\Appointment\participant\status\	FHIR:Appointment.participant.status	FHIR Appointment participant status		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\Appointment\participant\type\	FHIR:Appointment.participant.type	FHIR Appointment participant type		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\Attachment\contentType\	FHIR:Attachment.contentType	FHIR Attachment contentType		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\Attachment\creation\	FHIR:Attachment.creation	FHIR Attachment creation		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\Attachment\data\	FHIR:Attachment.data	FHIR Attachment data		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\Attachment\hash\	FHIR:Attachment.hash	FHIR Attachment hash		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\Attachment\language\	FHIR:Attachment.language	FHIR Attachment language		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\Attachment\size\	FHIR:Attachment.size	FHIR Attachment size		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\Attachment\title\	FHIR:Attachment.title	FHIR Attachment title		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
\FHIR\Attachment\url\	FHIR:Attachment.url	FHIR Attachment url		2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	2017-06-11 11:03:21.556240	FHIR STU3	
